品牌,类别,订单来源,订单状态,账期,成交价,订单金额,账单金额,账单二级类型,项目,收件人姓名,收件人姓名_脱敏,收件人手机号,收件人手机号_脱敏
华硕（ASUS）,电脑配件,拼多多,撤销,2026-01,,8040.81,558.97,采购订单,PC 经营采购,顾客0000,顾客0000,1**********,1**********
雷神,轻薄本,抖音,已成交,2026-02,7690.26,8914.17,8914.17,采购订单,PC 经营采购,顾客0001,顾客0001,1**********,1**********
微星,显示器,京东,新建采购,2026-08,,8244.79,670.06,采购订单,PC 经营采购,顾客0002,顾客0002,1**********,1**********
七彩虹,游戏本,淘宝,撤销,2026-01,,7435.92,1341.53,销售订单,PC 经营采购,顾客0003,顾客0003,1**********,1**********
ThinkPad,游戏本,天猫,报价中,2026-03,,6755.12,1674.75,采购订单,PC 经营采购,顾客0004,顾客0004,1**********,1**********
雷神,显示器,抖音,报价中,2026-03,,8394.27,951.97,销售订单,PC 经营采购,顾客0005,顾客0005,1**********,1**********
华硕（ASUS）,电脑配件,天猫,已成交,2026-07,9645.03,7374.48,7374.48,退换订单,PC 经营采购,顾客0006,顾客0006,1**********,1**********
华硕（ASUS）,显示器,淘宝,已成交,2026-03,7615.72,8582.7,8582.7,退换订单,PC 经营采购,顾客0007,顾客0007,1**********,1**********
微星,游戏本,抖音,待发布,2026-03,,10891.91,202.69,采购订单,PC 经营采购,顾客0008,顾客0008,1**********,1**********
惠普(HP),轻薄本,拼多多,已成交,2026-07,6930.47,6642.72,6642.72,采购订单,PC 经营采购,顾客0009,顾客0009,1**********,1**********
七彩虹,电脑配件,京东,已成交,2026-01,8354.07,8081.0,8081.0,采购订单,PC 经营采购,顾客0010,顾客0010,1**********,1**********
联想（Lenovo）,轻薄本,拼多多,已成交,2026-05,6871.61,6974.86,6974.86,采购订单,PC 经营采购,顾客0011,顾客0011,1**********,1**********
华硕（ASUS）,显示器,抖音,撤销,2026-02,,9240.04,1717.95,退换订单,PC 经营采购,顾客0012,顾客0012,1**********,1**********
宏碁（acer）,笔记本电脑,京东,报价中,2026-03,,7621.01,317.37,退换订单,PC 经营采购,顾客0013,顾客0013,1**********,1**********
华硕（ASUS）,显示器,电商通,撤销,2026-02,,8851.66,652.87,销售订单,PC 经营采购,顾客0014,顾客0014,1**********,1**********
微星,一体机,抖音,已成交,2026-07,10676.49,11069.17,11069.17,采购订单,PC 经营采购,顾客0015,顾客0015,1**********,1**********
雷神,显示器,天猫,已成交,2026-08,8087.93,9162.72,9162.72,采购订单,PC 经营采购,顾客0016,顾客0016,1**********,1**********
雷神,游戏本,拼多多,已成交,2026-07,7760.51,7513.8,7513.8,退换订单,PC 经营采购,顾客0017,顾客0017,1**********,1**********
华硕（ASUS）,电脑配件,拼多多,撤销,2026-03,,8421.2,358.14,退换订单,PC 经营采购,顾客0018,顾客0018,1**********,1**********
雷神,游戏本,京东,待发布,2026-03,,9636.18,462.19,采购订单,PC 经营采购,顾客0019,顾客0019,1**********,1**********
机械革命,游戏本,淘宝,已成交,2026-02,10298.26,11109.88,11109.88,退换订单,PC 经营采购,顾客0020,顾客0020,1**********,1**********
ThinkPad,轻薄本,淘宝,已成交,2026-03,7568.85,7884.5,7884.5,销售订单,PC 经营采购,顾客0021,顾客0021,1**********,1**********
微星,一体机,天猫,撤销,2026-07,,9882.27,2610.22,退换订单,PC 经营采购,顾客0022,顾客0022,1**********,1**********
微星,电脑配件,淘宝,撤销,2026-05,,10423.31,2704.01,采购订单,PC 经营采购,顾客0023,顾客0023,1**********,1**********
宏碁（acer）,电脑配件,京东,已成交,2026-01,6975.32,7600.43,7600.43,退换订单,PC 经营采购,顾客0024,顾客0024,1**********,1**********
联想（Lenovo）,游戏本,天猫,新建采购,2026-04,,7178.86,956.28,采购订单,PC 经营采购,顾客0025,顾客0025,1**********,1**********
联想（Lenovo）,电脑配件,快手,撤销,2026-07,,6853.84,1066.94,退换订单,PC 经营采购,顾客0026,顾客0026,1**********,1**********
惠普(HP),台式整机,天猫,撤销,2026-02,,8651.53,1021.83,销售订单,PC 经营采购,顾客0027,顾客0027,1**********,1**********
微星,电脑配件,抖音,新建采购,2026-01,,10404.38,2886.37,销售订单,PC 经营采购,顾客0028,顾客0028,1**********,1**********
联想（Lenovo）,电脑配件,拼多多,报价中,2026-04,,5904.94,1397.52,退换订单,PC 经营采购,顾客0029,顾客0029,1**********,1**********
七彩虹,显示器,淘宝,已成交,2026-01,7481.15,9126.67,9126.67,采购订单,PC 经营采购,顾客0030,顾客0030,1**********,1**********
惠普(HP),显示器,抖音,已成交,2026-05,8259.35,8077.1,8077.1,退换订单,PC 经营采购,顾客0031,顾客0031,1**********,1**********
宏碁（acer）,电脑配件,拼多多,已成交,2026-04,7954.69,6570.82,6570.82,退换订单,PC 经营采购,顾客0032,顾客0032,1**********,1**********
机械革命,笔记本电脑,天猫,已成交,2026-06,8984.67,8168.11,8168.11,退换订单,PC 经营采购,顾客0033,顾客0033,1**********,1**********
机械革命,电脑配件,淘宝,撤销,2026-06,,8149.09,881.08,销售订单,PC 经营采购,顾客0034,顾客0034,1**********,1**********
ThinkPad,一体机,淘宝,已成交,2026-07,6154.36,6448.22,6448.22,退换订单,PC 经营采购,顾客0035,顾客0035,1**********,1**********
ThinkPad,台式整机,淘宝,已成交,2026-06,7863.54,8086.99,8086.99,采购订单,PC 经营采购,顾客0036,顾客0036,1**********,1**********
雷神,笔记本电脑,淘宝,已成交,2026-02,8318.16,7952.86,7952.86,采购订单,PC 经营采购,顾客0037,顾客0037,1**********,1**********
惠普(HP),轻薄本,天猫,已成交,2026-06,8532.48,6785.31,6785.31,销售订单,PC 经营采购,顾客0038,顾客0038,1**********,1**********
联想（Lenovo）,电脑配件,天猫,撤销,2026-02,,6086.83,1062.17,采购订单,PC 经营采购,顾客0039,顾客0039,1**********,1**********
联想（Lenovo）,电脑配件,抖音,新建采购,2026-05,,6723.93,1062.79,采购订单,PC 经营采购,顾客0040,顾客0040,1**********,1**********
ThinkPad,台式整机,抖音,已成交,2026-02,6996.08,7012.54,7012.54,销售订单,PC 经营采购,顾客0041,顾客0041,1**********,1**********
七彩虹,显示器,淘宝,待发布,2026-05,,9632.94,55.13,采购订单,PC 经营采购,顾客0042,顾客0042,1**********,1**********
雷神,笔记本电脑,京东,已成交,2026-05,8452.55,8916.03,8916.03,销售订单,PC 经营采购,顾客0043,顾客0043,1**********,1**********
联想（Lenovo）,轻薄本,拼多多,已成交,2026-02,6306.16,7389.43,7389.43,销售订单,PC 经营采购,顾客0044,顾客0044,1**********,1**********
华硕（ASUS）,电脑配件,天猫,已成交,2026-04,8970.4,9877.25,9877.25,退换订单,PC 经营采购,顾客0045,顾客0045,1**********,1**********
微星,轻薄本,电商通,已成交,2026-06,9314.01,10333.28,10333.28,销售订单,PC 经营采购,顾客0046,顾客0046,1**********,1**********
宏碁（acer）,轻薄本,拼多多,待发布,2026-08,,7743.33,1813.6,采购订单,PC 经营采购,顾客0047,顾客0047,1**********,1**********
惠普(HP),游戏本,拼多多,已成交,2026-07,8167.21,8071.96,8071.96,采购订单,PC 经营采购,顾客0048,顾客0048,1**********,1**********
华硕（ASUS）,游戏本,快手,报价中,2026-05,,8675.28,198.14,采购订单,PC 经营采购,顾客0049,顾客0049,1**********,1**********
联想（Lenovo）,笔记本电脑,抖音,新建采购,2026-05,,5762.11,932.94,销售订单,PC 经营采购,顾客0050,顾客0050,1**********,1**********
